time, co2(ppm), temperature(C), rel_humidity(percent)
30-08-2023 17:39:34, 1503, 26.38, 59.86
30-08-2023 17:39:39, 1490, 25.99, 61.01
30-08-2023 17:39:44, 1478, 25.75, 61.96
30-08-2023 17:39:49, 1480, 25.50, 62.80
30-08-2023 17:39:54, 1472, 25.25, 63.63
30-08-2023 17:39:59, 1482, 25.03, 64.41
30-08-2023 17:40:04, 1475, 24.85, 65.12
30-08-2023 17:40:09, 1475, 24.66, 65.77
30-08-2023 17:40:14, 1472, 24.48, 66.40
30-08-2023 17:40:19, 1472, 24.33, 66.97
30-08-2023 17:40:24, 1470, 24.16, 67.51
30-08-2023 17:40:29, 1469, 24.04, 68.03
30-08-2023 17:40:34, 1470, 23.91, 68.47
30-08-2023 17:40:39, 1470, 23.79, 68.89
30-08-2023 17:40:44, 1469, 23.71, 69.33
30-08-2023 17:40:49, 1469, 23.60, 69.67
30-08-2023 17:40:54, 1469, 23.51, 70.05
30-08-2023 17:40:59, 1469, 23.43, 70.34
30-08-2023 17:41:04, 1467, 23.29, 70.90
30-08-2023 17:41:09, 1467, 23.19, 71.16
30-08-2023 17:41:14, 1468, 23.14, 71.45
30-08-2023 17:41:19, 1468, 23.09, 71.62
30-08-2023 17:41:24, 1468, 23.05, 71.80
30-08-2023 17:41:29, 1466, 23.00, 72.00
30-08-2023 17:41:34, 1466, 22.94, 72.15
30-08-2023 17:41:39, 1466, 22.91, 72.37
30-08-2023 17:41:44, 1466, 22.88, 72.53
30-08-2023 17:41:49, 1465, 22.83, 72.62
30-08-2023 17:41:54, 1465, 22.80, 72.73
30-08-2023 17:41:59, 1465, 22.78, 72.86
30-08-2023 17:42:04, 1465, 22.76, 73.01
30-08-2023 17:42:09, 1465, 22.72, 73.08
30-08-2023 17:42:14, 1465, 22.69, 73.14
30-08-2023 17:42:19, 1465, 22.68, 73.18
30-08-2023 17:42:24, 1466, 22.65, 73.28
30-08-2023 17:42:29, 1466, 22.64, 73.32
30-08-2023 17:42:34, 1466, 22.63, 73.46
30-08-2023 17:42:39, 1467, 22.59, 73.52
