time, co2(ppm), temperature(C), rel_humidity(percent)
02-09-2023 10:28:14, 734, 24.03, 57.66
02-09-2023 10:28:19, 730, 23.61, 58.72
02-09-2023 10:28:24, 739, 23.34, 59.61
02-09-2023 10:28:29, 728, 23.10, 60.38
02-09-2023 10:28:34, 734, 22.88, 61.15
02-09-2023 10:28:39, 732, 22.64, 61.74
02-09-2023 10:28:44, 735, 22.47, 62.37
02-09-2023 10:28:49, 734, 22.26, 62.92
02-09-2023 10:28:54, 733, 22.10, 63.45
02-09-2023 10:28:59, 730, 21.96, 64.00
02-09-2023 10:29:04, 730, 21.82, 64.47
02-09-2023 10:29:09, 730, 21.66, 64.94
02-09-2023 10:29:14, 729, 21.52, 65.33
02-09-2023 10:29:19, 730, 21.42, 65.72
02-09-2023 10:29:24, 729, 21.33, 66.12
02-09-2023 10:29:29, 730, 21.23, 66.43
02-09-2023 10:29:34, 729, 21.14, 66.75
02-09-2023 10:29:39, 728, 21.05, 67.07
02-09-2023 10:29:44, 728, 20.89, 67.62
02-09-2023 10:29:49, 728, 20.82, 67.86
02-09-2023 10:29:54, 738, 20.76, 68.09
02-09-2023 10:29:59, 737, 20.69, 68.31
02-09-2023 10:30:04, 737, 20.65, 68.51
02-09-2023 10:30:09, 739, 20.58, 68.69
02-09-2023 10:30:14, 738, 20.53, 68.89
02-09-2023 10:30:19, 737, 20.51, 69.05
02-09-2023 10:30:24, 737, 20.46, 69.14
02-09-2023 10:30:29, 736, 20.42, 69.26
02-09-2023 10:30:34, 735, 20.40, 69.44
02-09-2023 10:30:39, 735, 20.38, 69.55
02-09-2023 10:30:44, 735, 20.35, 69.67
02-09-2023 10:30:49, 736, 20.31, 69.75
02-09-2023 10:30:54, 736, 20.30, 69.87
02-09-2023 10:30:59, 735, 20.28, 69.94
02-09-2023 10:31:04, 735, 20.27, 69.97
02-09-2023 10:31:09, 734, 20.22, 70.08
02-09-2023 10:31:14, 734, 20.24, 70.17
02-09-2023 10:31:19, 734, 20.20, 70.26
02-09-2023 10:31:24, 734, 20.18, 70.35
02-09-2023 10:31:29, 734, 20.14, 70.41
02-09-2023 10:31:34, 735, 20.13, 70.43
02-09-2023 10:31:39, 734, 20.13, 70.45
02-09-2023 10:31:44, 735, 20.10, 70.55
02-09-2023 10:31:49, 736, 20.11, 70.57
02-09-2023 10:31:54, 735, 20.10, 70.57
02-09-2023 10:31:59, 735, 20.08, 70.60
02-09-2023 10:32:04, 734, 20.10, 70.66
02-09-2023 10:32:09, 734, 20.08, 70.69
02-09-2023 10:32:14, 734, 20.06, 70.70
02-09-2023 10:32:19, 734, 20.07, 70.69
02-09-2023 10:32:24, 734, 20.06, 70.67
02-09-2023 10:32:29, 734, 20.06, 70.73
02-09-2023 10:32:34, 733, 20.05, 70.74
02-09-2023 10:32:39, 734, 20.05, 70.78
02-09-2023 10:32:44, 732, 20.05, 70.80
02-09-2023 10:32:49, 731, 20.03, 70.77
02-09-2023 10:32:54, 731, 20.05, 70.81
02-09-2023 10:32:59, 730, 20.02, 70.84
02-09-2023 10:33:04, 729, 20.02, 70.86
02-09-2023 10:33:09, 730, 20.03, 70.88
02-09-2023 10:33:14, 729, 20.03, 70.89
02-09-2023 10:33:19, 729, 20.00, 70.90
02-09-2023 10:33:24, 729, 20.01, 70.91
02-09-2023 10:33:29, 730, 19.99, 70.93
02-09-2023 10:33:34, 730, 20.00, 70.92
02-09-2023 10:33:39, 730, 19.97, 70.94
02-09-2023 10:33:44, 730, 20.00, 70.97
02-09-2023 10:33:49, 730, 20.00, 70.97
02-09-2023 10:33:54, 731, 19.99, 70.94
02-09-2023 10:33:59, 731, 20.00, 70.93
02-09-2023 10:34:04, 731, 19.99, 70.93
02-09-2023 10:34:09, 732, 19.99, 70.98
02-09-2023 10:34:14, 732, 19.96, 70.96
02-09-2023 10:34:19, 732, 19.98, 70.98
02-09-2023 10:34:24, 732, 19.97, 70.93
02-09-2023 10:34:29, 733, 19.97, 70.97
02-09-2023 10:34:34, 732, 19.98, 70.94
02-09-2023 10:34:39, 733, 19.97, 70.96
02-09-2023 10:34:44, 734, 19.97, 70.95
02-09-2023 10:34:49, 734, 19.97, 70.94
02-09-2023 10:34:54, 734, 19.98, 70.96
02-09-2023 10:34:59, 734, 19.95, 70.94
02-09-2023 10:35:04, 734, 19.96, 70.99
02-09-2023 10:35:09, 734, 19.95, 71.00
02-09-2023 10:35:14, 735, 19.95, 70.99
02-09-2023 10:35:19, 734, 19.97, 70.98
02-09-2023 10:35:24, 734, 19.95, 71.02
02-09-2023 10:35:29, 734, 19.94, 70.99
