time, co2(ppm), temperature(C), rel_humidity(percent)
01-09-2023 12:31:45, 1368, 23.72, 56.09
01-09-2023 12:31:50, 1361, 23.41, 57.10
01-09-2023 12:31:55, 1351, 23.11, 57.94
01-09-2023 12:32:00, 1353, 22.88, 58.71
01-09-2023 12:32:05, 1348, 22.62, 59.39
01-09-2023 12:32:11, 1347, 22.41, 60.08
01-09-2023 12:32:16, 1342, 22.21, 60.68
01-09-2023 12:32:21, 1344, 22.02, 61.24
01-09-2023 12:32:26, 1343, 21.88, 61.85
01-09-2023 12:32:31, 1342, 21.71, 62.33
01-09-2023 12:32:36, 1342, 21.57, 62.77
01-09-2023 12:32:41, 1342, 21.41, 63.24
01-09-2023 12:32:46, 1341, 21.31, 63.66
01-09-2023 12:32:51, 1341, 21.16, 64.10
01-09-2023 12:32:56, 1341, 21.07, 64.48
01-09-2023 12:33:01, 1341, 20.98, 64.81
01-09-2023 12:33:06, 1340, 20.89, 65.12
01-09-2023 12:33:11, 1340, 20.77, 65.45
01-09-2023 12:33:16, 1341, 20.61, 65.99
01-09-2023 12:33:21, 1342, 20.56, 66.26
01-09-2023 12:33:26, 1343, 20.50, 66.51
01-09-2023 12:33:31, 1343, 20.44, 66.71
01-09-2023 12:33:36, 1343, 20.40, 66.94
01-09-2023 12:33:41, 1343, 20.34, 67.07
01-09-2023 12:33:46, 1346, 20.33, 67.22
01-09-2023 12:33:51, 1348, 20.29, 67.40
01-09-2023 12:33:56, 1350, 20.24, 67.58
01-09-2023 12:34:01, 1350, 20.18, 67.76
01-09-2023 12:34:06, 1350, 20.16, 67.85
01-09-2023 12:34:11, 1350, 20.13, 67.95
01-09-2023 12:34:16, 1349, 20.11, 68.07
01-09-2023 12:34:21, 1350, 20.08, 68.17
01-09-2023 12:34:26, 1350, 20.05, 68.30
01-09-2023 12:34:31, 1350, 20.03, 68.35
01-09-2023 12:34:36, 1351, 19.99, 68.42
01-09-2023 12:34:41, 1351, 20.01, 68.44
01-09-2023 12:34:46, 1352, 20.01, 68.58
01-09-2023 12:34:51, 1354, 19.93, 68.73
01-09-2023 12:34:56, 1354, 19.93, 68.70
01-09-2023 12:35:01, 1354, 19.93, 68.79
01-09-2023 12:35:06, 1354, 19.91, 68.81
01-09-2023 12:35:11, 1354, 19.91, 68.84
01-09-2023 12:35:16, 1356, 19.90, 68.90
01-09-2023 12:35:21, 1356, 19.89, 68.88
01-09-2023 12:35:26, 1356, 19.88, 68.97
01-09-2023 12:35:31, 1357, 19.88, 69.01
01-09-2023 12:35:36, 1356, 19.87, 69.05
01-09-2023 12:35:41, 1357, 19.85, 69.06
01-09-2023 12:35:46, 1357, 19.86, 69.10
01-09-2023 12:35:51, 1357, 19.86, 69.11
01-09-2023 12:35:56, 1357, 19.86, 69.09
01-09-2023 12:36:01, 1358, 19.84, 69.14
01-09-2023 12:36:06, 1358, 19.85, 69.15
01-09-2023 12:36:11, 1358, 19.84, 69.18
01-09-2023 12:36:16, 1358, 19.83, 69.18
01-09-2023 12:36:21, 1358, 19.83, 69.20
01-09-2023 12:36:26, 1358, 19.80, 69.21
01-09-2023 12:36:31, 1356, 19.83, 69.19
01-09-2023 12:36:36, 1355, 19.82, 69.20
01-09-2023 12:36:41, 1354, 19.80, 69.25
01-09-2023 12:36:46, 1354, 19.81, 69.22
01-09-2023 12:36:51, 1354, 19.80, 69.24
01-09-2023 12:36:56, 1355, 19.77, 69.31
01-09-2023 12:37:01, 1355, 19.80, 69.26
01-09-2023 12:37:06, 1355, 19.80, 69.31
01-09-2023 12:37:11, 1356, 19.79, 69.31
01-09-2023 12:37:16, 1355, 19.79, 69.29
01-09-2023 12:37:21, 1355, 19.79, 69.31
01-09-2023 12:37:26, 1354, 19.80, 69.31
01-09-2023 12:37:31, 1354, 19.82, 69.26
01-09-2023 12:37:36, 1354, 19.82, 69.29
01-09-2023 12:37:41, 1354, 19.80, 69.29
01-09-2023 12:37:46, 1354, 19.79, 69.31
01-09-2023 12:37:51, 1353, 19.78, 69.31
01-09-2023 12:37:56, 1354, 19.79, 69.27
01-09-2023 12:38:01, 1353, 19.78, 69.32
01-09-2023 12:38:06, 1352, 19.81, 69.30
01-09-2023 12:38:11, 1352, 19.78, 69.32
01-09-2023 12:38:16, 1353, 19.80, 69.29
01-09-2023 12:38:21, 1354, 19.79, 69.25
01-09-2023 12:38:26, 1354, 19.80, 69.27
01-09-2023 12:38:31, 1354, 19.80, 69.25
01-09-2023 12:38:36, 1354, 19.81, 69.27
01-09-2023 12:38:41, 1355, 19.81, 69.30
01-09-2023 12:38:46, 1356, 19.80, 69.29
01-09-2023 12:38:51, 1356, 19.81, 69.22
01-09-2023 12:38:56, 1355, 19.80, 69.27
01-09-2023 12:39:01, 1355, 19.80, 69.30
01-09-2023 12:39:06, 1356, 19.78, 69.30
01-09-2023 12:39:11, 1356, 19.80, 69.29
01-09-2023 12:39:16, 1356, 19.79, 69.26
01-09-2023 12:39:21, 1355, 19.81, 69.26
01-09-2023 12:39:26, 1355, 19.80, 69.31
01-09-2023 12:39:31, 1357, 19.81, 69.26
01-09-2023 12:39:36, 1356, 19.79, 69.27
01-09-2023 12:39:41, 1356, 19.81, 69.26
01-09-2023 12:39:46, 1357, 19.82, 69.26
01-09-2023 12:39:51, 1357, 19.83, 69.25
01-09-2023 12:39:56, 1356, 19.82, 69.27
01-09-2023 12:40:01, 1356, 19.80, 69.25
01-09-2023 12:40:06, 1355, 19.80, 69.29
01-09-2023 12:40:11, 1356, 19.80, 69.29
01-09-2023 12:40:16, 1357, 19.81, 69.23
01-09-2023 12:40:21, 1358, 19.82, 69.25
01-09-2023 12:40:26, 1358, 19.79, 69.26
01-09-2023 12:40:31, 1358, 19.79, 69.30
01-09-2023 12:40:36, 1358, 19.82, 69.27
01-09-2023 12:40:41, 1358, 19.83, 69.28
01-09-2023 12:40:46, 1359, 19.79, 69.27
01-09-2023 12:40:51, 1358, 19.81, 69.27
01-09-2023 12:40:56, 1358, 19.80, 69.23
01-09-2023 12:41:01, 1358, 19.81, 69.28
01-09-2023 12:41:06, 1358, 19.81, 69.24
01-09-2023 12:41:11, 1358, 19.81, 69.22
01-09-2023 12:41:16, 1357, 19.81, 69.24
01-09-2023 12:41:21, 1356, 19.83, 69.23
01-09-2023 12:41:26, 1356, 19.82, 69.21
01-09-2023 12:41:31, 1355, 19.83, 69.25
01-09-2023 12:41:36, 1347, 19.82, 69.25
01-09-2023 12:41:41, 1349, 19.80, 69.22
01-09-2023 12:41:46, 1254, 19.74, 69.31
01-09-2023 12:41:51, 1248, 19.62, 69.59
01-09-2023 12:41:56, 1242, 19.46, 70.09
01-09-2023 12:42:01, 1217, 19.34, 70.58
01-09-2023 12:42:06, 1197, 19.25, 70.95
01-09-2023 12:42:11, 1208, 19.15, 71.24
01-09-2023 12:42:16, 1206, 19.12, 71.62
01-09-2023 12:42:21, 1206, 19.12, 71.83
01-09-2023 12:42:26, 1189, 19.13, 71.94
01-09-2023 12:42:31, 1163, 19.15, 71.99
01-09-2023 12:42:36, 1141, 19.20, 72.05
01-09-2023 12:42:41, 1113, 19.25, 72.02
01-09-2023 12:42:46, 1084, 19.30, 71.98
01-09-2023 12:42:51, 1040, 19.36, 71.87
01-09-2023 12:42:56, 1021, 19.38, 71.79
01-09-2023 12:43:01, 974, 19.43, 71.74
01-09-2023 12:43:06, 943, 19.43, 71.71
01-09-2023 12:43:11, 937, 19.43, 71.69
01-09-2023 12:43:16, 935, 19.47, 71.72
01-09-2023 12:43:21, 932, 19.49, 71.68
01-09-2023 12:43:26, 933, 19.50, 71.68
01-09-2023 12:43:31, 929, 19.52, 71.62
01-09-2023 12:43:36, 922, 19.52, 71.60
01-09-2023 12:43:41, 914, 19.55, 71.51
01-09-2023 12:43:46, 909, 19.57, 71.48
01-09-2023 12:43:51, 904, 19.61, 71.48
01-09-2023 12:43:56, 901, 19.65, 71.40
01-09-2023 12:44:01, 897, 19.68, 71.35
01-09-2023 12:44:06, 889, 19.68, 71.27
01-09-2023 12:44:11, 885, 19.74, 71.23
01-09-2023 12:44:16, 880, 19.73, 71.19
01-09-2023 12:44:21, 877, 19.77, 71.17
01-09-2023 12:44:26, 870, 19.82, 71.11
01-09-2023 12:44:31, 867, 19.85, 71.03
01-09-2023 12:44:36, 860, 19.83, 70.95
01-09-2023 12:44:41, 857, 19.87, 70.97
01-09-2023 12:44:46, 853, 19.86, 70.87
01-09-2023 12:44:51, 850, 19.89, 70.86
01-09-2023 12:44:56, 849, 19.91, 70.83
01-09-2023 12:45:01, 846, 19.93, 70.77
01-09-2023 12:45:06, 839, 19.93, 70.76
01-09-2023 12:45:11, 833, 19.96, 70.68
01-09-2023 12:45:16, 831, 19.97, 70.74
01-09-2023 12:45:21, 829, 19.97, 70.64
01-09-2023 12:45:26, 828, 19.96, 70.61
01-09-2023 12:45:31, 827, 20.00, 70.62
01-09-2023 12:45:36, 825, 20.00, 70.53
01-09-2023 12:45:41, 820, 20.00, 70.53
01-09-2023 12:45:46, 820, 20.03, 70.50
01-09-2023 12:45:51, 816, 20.02, 70.44
01-09-2023 12:45:56, 812, 20.03, 70.43
01-09-2023 12:46:01, 809, 20.05, 70.38
01-09-2023 12:46:06, 809, 20.06, 70.38
01-09-2023 12:46:11, 808, 20.04, 70.36
01-09-2023 12:46:16, 807, 20.03, 70.33
01-09-2023 12:46:21, 806, 20.05, 70.35
01-09-2023 12:46:26, 806, 20.06, 70.29
01-09-2023 12:46:31, 805, 20.04, 70.29
01-09-2023 12:46:36, 804, 20.05, 70.27
01-09-2023 12:46:41, 801, 20.05, 70.30
01-09-2023 12:46:46, 799, 20.03, 70.30
01-09-2023 12:46:51, 796, 20.05, 70.27
01-09-2023 12:46:56, 794, 20.06, 70.29
01-09-2023 12:47:01, 792, 20.05, 70.29
01-09-2023 12:47:06, 791, 20.06, 70.29
01-09-2023 12:47:11, 789, 20.07, 70.30
01-09-2023 12:47:16, 787, 20.05, 70.29
01-09-2023 12:47:21, 786, 20.06, 70.27
01-09-2023 12:47:27, 785, 20.08, 70.25
01-09-2023 12:47:32, 784, 20.05, 70.25
01-09-2023 12:47:37, 784, 20.06, 70.26
01-09-2023 12:47:42, 784, 20.05, 70.27
01-09-2023 12:47:47, 783, 20.07, 70.26
01-09-2023 12:47:52, 783, 20.05, 70.26
01-09-2023 12:47:57, 782, 20.06, 70.30
01-09-2023 12:48:02, 781, 20.05, 70.27
01-09-2023 12:48:07, 781, 20.05, 70.31
01-09-2023 12:48:12, 779, 20.05, 70.30
01-09-2023 12:48:17, 778, 20.04, 70.31
01-09-2023 12:48:22, 777, 20.05, 70.31
01-09-2023 12:48:27, 777, 20.08, 70.27
01-09-2023 12:48:32, 778, 20.07, 70.30
01-09-2023 12:48:37, 779, 20.06, 70.29
01-09-2023 12:48:42, 778, 20.06, 70.29
01-09-2023 12:48:47, 776, 20.03, 70.28
01-09-2023 12:48:52, 775, 20.04, 70.29
01-09-2023 12:48:57, 774, 20.06, 70.30
01-09-2023 12:49:02, 772, 20.03, 70.34
01-09-2023 12:49:07, 771, 20.04, 70.33
01-09-2023 12:49:12, 768, 20.04, 70.31
01-09-2023 12:49:17, 769, 20.02, 70.33
01-09-2023 12:49:22, 769, 20.03, 70.33
01-09-2023 12:49:27, 769, 20.04, 70.39
01-09-2023 12:49:32, 770, 20.03, 70.42
01-09-2023 12:49:37, 769, 20.04, 70.38
01-09-2023 12:49:42, 769, 20.03, 70.40
01-09-2023 12:49:47, 768, 20.02, 70.41
01-09-2023 12:49:52, 768, 20.03, 70.37
01-09-2023 12:49:57, 767, 20.03, 70.39
01-09-2023 12:50:02, 768, 20.02, 70.40
01-09-2023 12:50:07, 766, 20.02, 70.41
01-09-2023 12:50:12, 767, 20.00, 70.43
01-09-2023 12:50:17, 767, 20.02, 70.42
01-09-2023 12:50:22, 767, 20.01, 70.47
01-09-2023 12:50:27, 766, 20.01, 70.41
01-09-2023 12:50:32, 765, 20.02, 70.40
