time, co2(ppm), temperature(°C), rel_humidity(percent)
2023/09/07 18:16:13, 997, 27.20, 71.12
2023/09/07 18:16:18, 973, 26.77, 72.48
2023/09/07 18:16:23, 952, 26.53, 73.56
2023/09/07 18:16:28, 961, 26.28, 74.61
2023/09/07 18:16:33, 956, 26.03, 75.58
2023/09/07 18:16:39, 945, 25.80, 76.48
2023/09/07 18:16:44, 944, 25.61, 77.33
2023/09/07 18:16:49, 944, 25.43, 78.11
2023/09/07 18:16:54, 945, 25.25, 78.83
2023/09/07 18:16:59, 945, 25.08, 79.56
2023/09/07 18:17:04, 946, 24.94, 80.20
2023/09/07 18:17:09, 946, 24.82, 80.78
2023/09/07 18:17:14, 947, 24.69, 81.36
2023/09/07 18:17:19, 948, 24.56, 81.89
2023/09/07 18:17:24, 972, 24.48, 82.32
2023/09/07 18:17:29, 975, 24.36, 82.80
2023/09/07 18:17:34, 974, 24.29, 83.18
2023/09/07 18:17:39, 974, 24.20, 83.58
2023/09/07 18:17:44, 973, 24.02, 84.24
2023/09/07 18:17:49, 973, 23.97, 84.60
2023/09/07 18:17:54, 971, 23.92, 84.84
2023/09/07 18:17:59, 971, 23.84, 85.06
2023/09/07 18:18:04, 972, 23.79, 85.30
2023/09/07 18:18:09, 971, 23.75, 85.54
2023/09/07 18:18:14, 971, 23.71, 85.74
2023/09/07 18:18:19, 970, 23.68, 85.93
2023/09/07 18:18:24, 970, 23.60, 86.10
2023/09/07 18:18:29, 969, 23.59, 86.29
2023/09/07 18:18:34, 969, 23.57, 86.43
2023/09/07 18:18:39, 968, 23.54, 86.56
2023/09/07 18:18:44, 967, 23.53, 86.72
2023/09/07 18:18:49, 968, 23.48, 86.80
2023/09/07 18:18:54, 969, 23.45, 86.92
2023/09/07 18:18:59, 971, 23.44, 87.03
2023/09/07 18:19:04, 971, 23.43, 87.12
2023/09/07 18:19:09, 970, 23.38, 87.20
2023/09/07 18:19:14, 969, 23.40, 87.30
2023/09/07 18:19:19, 971, 23.35, 87.44
2023/09/07 18:19:24, 971, 23.34, 87.49
2023/09/07 18:19:29, 971, 23.30, 87.54
2023/09/07 18:19:34, 971, 23.30, 87.60
2023/09/07 18:19:39, 972, 23.30, 87.66
2023/09/07 18:19:44, 959, 23.31, 87.69
2023/09/07 18:19:49, 959, 23.28, 87.73
2023/09/07 18:19:54, 960, 23.28, 87.77
2023/09/07 18:19:59, 962, 23.26, 87.79
2023/09/07 18:20:04, 963, 23.27, 87.84
2023/09/07 18:20:09, 965, 23.25, 87.85
