time, co2(ppm), temperature(°C), rel_humidity(percent)
2023-09-08 17:22:59, 973, 27.34, 65.51
2023-09-08 17:23:04, 988, 26.91, 66.77
2023-09-08 17:23:09, 989, 26.66, 67.80
2023-09-08 17:23:14, 987, 26.39, 68.78
2023-09-08 17:23:19, 980, 26.15, 69.65
2023-09-08 17:23:24, 978, 25.95, 70.53
2023-09-08 17:23:29, 985, 25.75, 71.31
2023-09-08 17:23:34, 985, 25.57, 72.04
2023-09-08 17:23:39, 985, 25.40, 72.69
2023-09-08 17:23:44, 986, 25.26, 73.40
2023-09-08 17:23:49, 987, 25.07, 73.94
2023-09-08 17:23:54, 987, 24.97, 74.52
2023-09-08 17:23:59, 988, 24.84, 75.02
2023-09-08 17:24:04, 987, 24.68, 75.51
2023-09-08 17:24:09, 987, 24.57, 75.96
2023-09-08 17:24:14, 988, 24.51, 76.38
2023-09-08 17:24:19, 988, 24.41, 76.74
2023-09-08 17:24:24, 1023, 24.32, 77.07
2023-09-08 17:24:29, 1021, 24.16, 77.70
2023-09-08 17:24:34, 1019, 24.10, 78.01
2023-09-08 17:24:39, 1015, 24.05, 78.25
2023-09-08 17:24:44, 1011, 24.00, 78.50
2023-09-08 17:24:49, 1011, 23.95, 78.72
2023-09-08 17:24:54, 1008, 23.90, 78.90
2023-09-08 17:24:59, 1008, 23.85, 79.07
2023-09-08 17:25:04, 1008, 23.82, 79.24
2023-09-08 17:25:09, 1008, 23.81, 79.43
2023-09-08 17:25:14, 1008, 23.75, 79.55
2023-09-08 17:25:19, 1008, 23.73, 79.71
2023-09-08 17:25:24, 1007, 23.67, 79.83
2023-09-08 17:25:29, 1006, 23.69, 79.98
2023-09-08 17:25:34, 1003, 23.64, 80.03
2023-09-08 17:25:39, 1001, 23.63, 80.16
2023-09-08 17:25:44, 1001, 23.59, 80.23
2023-09-08 17:25:49, 1001, 23.59, 80.32
2023-09-08 17:25:54, 1001, 23.58, 80.42
2023-09-08 17:25:59, 999, 23.56, 80.47
2023-09-08 17:26:04, 996, 23.53, 80.60
2023-09-08 17:26:09, 994, 23.51, 80.67
2023-09-08 17:26:14, 992, 23.50, 80.67
2023-09-08 17:26:19, 992, 23.51, 80.79
2023-09-08 17:26:24, 991, 23.49, 80.80
2023-09-08 17:26:29, 992, 23.49, 80.84
2023-09-08 17:26:34, 991, 23.46, 80.87
2023-09-08 17:26:39, 992, 23.46, 80.90
2023-09-08 17:26:44, 992, 23.47, 80.98
2023-09-08 17:26:49, 992, 23.44, 80.99
2023-09-08 17:26:54, 992, 23.44, 81.02
2023-09-08 17:26:59, 991, 23.43, 81.06
2023-09-08 17:27:04, 992, 23.42, 81.05
2023-09-08 17:27:09, 992, 23.42, 81.09
2023-09-08 17:27:14, 993, 23.44, 81.13
2023-09-08 17:27:19, 993, 23.44, 81.12
2023-09-08 17:27:24, 993, 23.43, 81.15
2023-09-08 17:27:29, 993, 23.41, 81.18
2023-09-08 17:27:34, 993, 23.42, 81.18
2023-09-08 17:27:39, 994, 23.41, 81.21
2023-09-08 17:27:44, 994, 23.42, 81.23
2023-09-08 17:27:49, 995, 23.42, 81.20
2023-09-08 17:27:54, 994, 23.42, 81.25
2023-09-08 17:27:59, 994, 23.40, 81.25
2023-09-08 17:28:04, 995, 23.40, 81.28
2023-09-08 17:28:09, 995, 23.40, 81.26
2023-09-08 17:28:14, 995, 23.40, 81.29
2023-09-08 17:28:19, 995, 23.42, 81.29
2023-09-08 17:28:24, 996, 23.37, 81.27
2023-09-08 17:28:29, 996, 23.40, 81.32
2023-09-08 17:28:34, 996, 23.40, 81.30
2023-09-08 17:28:39, 997, 23.40, 81.28
2023-09-08 17:28:44, 996, 23.40, 81.29
2023-09-08 17:28:49, 997, 23.39, 81.29
2023-09-08 17:28:54, 996, 23.40, 81.31
2023-09-08 17:28:59, 996, 23.41, 81.32
2023-09-08 17:29:04, 996, 23.40, 81.30
2023-09-08 17:29:09, 996, 23.39, 81.30
2023-09-08 17:29:14, 997, 23.40, 81.29
2023-09-08 17:29:19, 997, 23.40, 81.29
2023-09-08 17:29:24, 996, 23.41, 81.27
2023-09-08 17:29:29, 999, 23.41, 81.30
2023-09-08 17:29:34, 998, 23.43, 81.33
2023-09-08 17:29:39, 999, 23.42, 81.29
2023-09-08 17:29:44, 1000, 23.42, 81.32
2023-09-08 17:29:49, 1000, 23.41, 81.30
2023-09-08 17:29:54, 1000, 23.42, 81.32
2023-09-08 17:29:59, 999, 23.40, 81.30
2023-09-08 17:30:04, 1000, 23.40, 81.32
2023-09-08 17:30:09, 1000, 23.42, 81.32
2023-09-08 17:30:14, 1001, 23.43, 81.36
2023-09-08 17:30:19, 1001, 23.42, 81.34
2023-09-08 17:30:24, 1002, 23.41, 81.30
2023-09-08 17:30:29, 1002, 23.40, 81.30
2023-09-08 17:30:34, 1004, 23.44, 81.36
2023-09-08 17:30:39, 1004, 23.41, 81.34
2023-09-08 17:30:44, 1004, 23.39, 81.32
2023-09-08 17:30:49, 1005, 23.41, 81.32
2023-09-08 17:30:54, 1007, 23.43, 81.31
2023-09-08 17:30:59, 1007, 23.40, 81.29
2023-09-08 17:31:04, 1006, 23.42, 81.32
2023-09-08 17:31:09, 1007, 23.41, 81.35
2023-09-08 17:31:14, 1007, 23.42, 81.33
2023-09-08 17:31:19, 1011, 23.42, 81.34
2023-09-08 17:31:24, 1012, 23.41, 81.35
2023-09-08 17:31:29, 1014, 23.40, 81.28
2023-09-08 17:31:34, 1012, 23.41, 81.34
2023-09-08 17:31:39, 1013, 23.41, 81.30
2023-09-08 17:31:44, 1012, 23.42, 81.32
2023-09-08 17:31:49, 1013, 23.39, 81.32
2023-09-08 17:31:54, 1013, 23.42, 81.33
2023-09-08 17:31:59, 1013, 23.42, 81.35
2023-09-08 17:32:04, 1013, 23.41, 81.36
2023-09-08 17:32:09, 1013, 23.41, 81.34
2023-09-08 17:32:14, 1013, 23.40, 81.35
2023-09-08 17:32:19, 1013, 23.41, 81.34
2023-09-08 17:32:24, 1014, 23.40, 81.33
2023-09-08 17:32:29, 1014, 23.41, 81.35
2023-09-08 17:32:34, 1014, 23.42, 81.31
2023-09-08 17:32:39, 1014, 23.42, 81.36
2023-09-08 17:32:44, 1014, 23.41, 81.30
2023-09-08 17:32:49, 1015, 23.43, 81.34
2023-09-08 17:32:54, 1014, 23.42, 81.33
2023-09-08 17:32:59, 1015, 23.40, 81.35
2023-09-08 17:33:04, 1015, 23.42, 81.35
2023-09-08 17:33:09, 1016, 23.42, 81.31
2023-09-08 17:33:14, 1015, 23.41, 81.33
2023-09-08 17:33:19, 1016, 23.40, 81.34
2023-09-08 17:33:24, 1016, 23.41, 81.34
2023-09-08 17:33:29, 1015, 23.40, 81.32
2023-09-08 17:33:35, 1015, 23.42, 81.35
2023-09-08 17:33:40, 1015, 23.41, 81.35
2023-09-08 17:33:45, 1014, 23.40, 81.31
2023-09-08 17:33:50, 1014, 23.42, 81.32
2023-09-08 17:33:55, 1014, 23.42, 81.35
2023-09-08 17:34:00, 1014, 23.42, 81.34
2023-09-08 17:34:05, 1015, 23.42, 81.32
2023-09-08 17:34:10, 1015, 23.41, 81.37
2023-09-08 17:34:15, 1015, 23.42, 81.34
2023-09-08 17:34:20, 1016, 23.42, 81.39
2023-09-08 17:34:25, 1017, 23.41, 81.36
2023-09-08 17:34:30, 1018, 23.40, 81.36
2023-09-08 17:34:35, 1017, 23.41, 81.40
2023-09-08 17:34:40, 1016, 23.40, 81.36
2023-09-08 17:34:45, 1015, 23.41, 81.40
