time, co2(ppm), temperature(°C), rel_humidity(percent)
2023/09/07 18:10:19, 964, 27.11, 71.49
2023/09/07 18:10:24, 963, 26.69, 72.88
2023/09/07 18:10:29, 941, 26.44, 73.99
2023/09/07 18:10:34, 938, 26.20, 75.04
2023/09/07 18:10:39, 949, 25.96, 75.98
2023/09/07 18:10:44, 938, 25.75, 76.89
2023/09/07 18:10:49, 936, 25.55, 77.75
2023/09/07 18:10:54, 937, 25.36, 78.55
2023/09/07 18:10:59, 937, 25.20, 79.27
2023/09/07 18:11:04, 937, 25.04, 79.96
2023/09/07 18:11:09, 937, 24.89, 80.58
2023/09/07 18:11:14, 938, 24.77, 81.23
2023/09/07 18:11:19, 938, 24.64, 81.74
2023/09/07 18:11:24, 938, 24.52, 82.27
2023/09/07 18:11:29, 938, 24.41, 82.76
2023/09/07 18:11:34, 938, 24.31, 83.18
2023/09/07 18:11:39, 937, 24.22, 83.58
2023/09/07 18:11:44, 937, 24.16, 83.96
